       m k           Optimal   Optimal runtime            Greedy    Greedy runtime                GA     GA evaluation        GA runtime              GAPI   GAPI evaluation      GAPI runtime                SA     SA evaluation        SA runtime              SAPI   SAPI evaluation      SAPI runtime
     m11k1                 x                 x                28       0.311550809                29               392      64.730977245                29                 7      61.465865369                18               204      48.486170444                28                 0      48.819012103
     m11k2                 x                 x                47       0.230504741                50             15635      82.895900081                50              9118       83.38771231                34               139      67.037791362                47                 0      65.670229161
     m11k3                 x                 x                55       0.289456058                64             48158      97.742531003                62             22329      98.353516045                47                91      87.349811832                55                 0      87.453024293
     m11k4                 x                 x                70       0.274338008                71             47556     107.482652089                72               143     109.138447851                51               474     108.170326445                70                 0     109.851542412
     m11k5                 x                 x                76       0.303782979                81              2548     117.750678251                82             20837     121.776738045                61               805     126.064865538                76                 0      126.09191846
     m11k6                 x                 x                84       0.373867482                89              9110     134.994165901                88                69     132.526499675                66               949     146.724380722                84                 0     146.435302604
     m11k7                 x                 x                88       0.413958082                93             27999     141.947945518                95             31922     141.996580792                71               351     160.161759031                89                11     158.317420069
     m11k8                 x                 x                89       0.464090142                96             23819     150.123316389                95             28907     150.656782416                75               356     179.681717079                89                 0     181.968531297
     m11k9                 x                 x                95       0.501277092                97             38208     150.521607928                98              1956     170.312514846                79               320     194.183097209                95                 0      193.40701698
    m11k10                 x                 x                94       0.556153612                99             14040     168.863544719                99             44693     183.491817483                81               166     216.002943555                94                 0     214.858636803
    m11k11                 x                 x                95       0.597188778                95              7234     168.358428606               101                23     192.236890454                86               442      232.58114735                95                 0     235.298589125
    m11k12                 x                 x                93       0.652240688               100             12718     201.632932277                99               139     200.900695558                89               706     254.779324592                93                 0     254.833280238
    m11k13                 x                 x                91       0.703617213                98             42079     195.636697487               100             11005     208.961115723                91               893     270.096554908                91                 0      269.41742547
    m11k14                 x                 x                84        0.77453823               101             11305     224.119492935               101              4880     214.784202441                89               482     286.754009304                90               449     291.226842147
    m11k15                 x                 x                84        0.79398035               101             26775     232.192037525                99              2799     226.271990443                91               443     302.016177699                93               234     299.628634889
    m11k16                 x                 x                89        0.85158556               100              1882     247.503453651               101              2073     248.380284192                91              1140     313.617849897                93               911     316.811348475
    m11k17                 x                 x                92       0.884301956               101             13565     259.950055016               101             23544     249.653795951                95               649     339.279338234                96               174     334.555396173
    m11k18                 x                 x                92        0.94649196               101              3049     253.150969711               101             33218     275.636560549                94               625     347.134522211                97               305     348.269480837
    m11k19                 x                 x                92       0.987974209               101               435     270.675640553               101             11506     264.740952065                98              1475     359.373867355                97               280     354.282527959
    m11k20                 x                 x                92        0.98867729               101               168      279.86449006               100               500     288.791317831                96              1112     379.692216343                98               418         376.98504
     m12k1                 x                 x                30       0.131395409                31               896      64.648705294                31                 6      66.928859084                18                72      50.842489963                30                 0      50.197677016
     m12k2                 x                 x                51       0.187729684                54              3950      86.531675734                54             49753      86.707724272                35               267       71.71007013                51                 0      72.333164803
     m12k3                 x                 x                59       0.237925271                65              1004     101.189490345                67             16232     102.365049987                47                73      92.536630244                59                 0      93.143538109
     m12k4                 x                 x                74       0.286146177                76             22097     115.854547935                77              1965     116.076346695                60               291     113.850193166                74                 0     115.406164161
     m12k5                 x                 x                79       0.348373189                89             28875     130.641218279                87               365     132.169223361                62                32     135.482762181                79                 0     137.819446311
     m12k6                 x                 x                90       0.402096799                91              2818     138.115623236                92               496     142.015133375                73               185     156.557691658                90                 0     158.177408193
     m12k7                 x                 x                91       0.453394489               101              1634     156.705818952                97             47752     154.018471222                75               441     174.801780446                91                 0     174.868140358
     m12k8                 x                 x                92        0.52010207                98              4632      161.09941067                98              4070     161.682006144                77               312     196.444559599                92                 0      196.36634887
     m12k9                 x                 x                99       0.548567422               100             29026     174.708722559               101              1152     189.939184463                84               685     211.948714148                99                 0     212.995451606
    m12k10                 x                 x                98       0.588221238                99             21728     179.291690028               104             18273     195.910699045                84              1773     239.528920895                98                 0      236.12237044
    m12k11                 x                 x                97       0.631873921               104             36683     194.034515537               104                19     206.230466603                93               734     254.089754188                97                 0     251.253614519
    m12k12                 x                 x                96       0.683174149               101             33035      205.12807849               103             42516     204.852475944                94               762     272.551174335                96                 0     268.107432725
    m12k13                 x                 x                92       0.707607875               102               927     199.242848939               103             19204     222.111741505                94               643     282.970154725                99               138      288.81055617
    m12k14                 x                 x                91       0.786923569               104              6637     238.567239136               104             19477     247.258431358                91               736     308.920650201                91                 0     307.156602515
    m12k15                 x                 x                91       0.849761508               103              8101     242.901914206               103             36506     252.469345556                94               367     326.157752969                94               669      328.92215931
