       m k           Optimal   Optimal runtime            Greedy    Greedy runtime                GA     GA evaluation        GA runtime              GAPI   GAPI evaluation      GAPI runtime                SA     SA evaluation        SA runtime              SAPI   SAPI evaluation      SAPI runtime
     m14k1                 x                 x               105       3.005252789                85              1708     152.375107182               105                 0     195.514058672                63                24     115.931718607               105                 0     115.295695672
     m14k2                 x                 x               174       4.971827832               133              6370     205.739062432               175                24     232.547288261               105               105     136.659976063               174                 0     136.145538241
     m14k3                 x                 x               187       6.118154416               170               804     252.519388113               190                25     293.174694545               127               268     162.793237641               187                 0     165.397920995
     m14k4                 x                 x               203       9.041774279               186               395     284.431719857               209                89     328.510401625               154               364     211.781386811               203                 0     208.543677284
     m14k5                 x                 x               213       8.853082859               202              2703     342.371260973               215              9106      388.83814996               172               247     251.517090762               213                 0     235.458962364
     m14k6                 x                 x               221      10.711399725               208              3834     364.798894666               222              1908     434.593864659               177               251     275.235037224               221                 0      283.01209948
     m14k7                 x                 x               221      12.664890295               206              4478     437.092653245               221                 0     479.767789877               188               809     327.739124128               221                 0     329.150479767
     m14k8                 x                 x               226      14.001561145               211               359     458.582044809               228              1206     510.876211697               197               666     352.569340857               226                 0     359.583021427
     m14k9                 x                 x               226      15.995685142               219             10545     494.482914087               226                 0     572.928847578               198               790     421.381456978               226                 0     412.434388197
    m14k10                 x                 x               226      17.907569653               217               551     544.054167692               226                 0     559.441903297               202               761     453.965540569               226                 0       430.6381852
    m14k11                 x                 x               226      18.597962675               216               370     610.756345274               227                21     612.412269173               209              1460     497.869518188               226                 0     496.698078569
    m14k12                 x                 x               228      22.341127776               220                60     665.169090988               228                 0     637.230367063               208              3308     549.974300183               228                 0     559.835612975
    m14k13                 x                 x               228      22.329317983               222              1790     701.204233165               228                 0     704.395861714               212              1971     626.410253291               228                 0     625.639378994
    m14k14                 x                 x               227      23.124936809               220               701     752.267505315               227                 0     715.110753852               216              2309     683.447995617               227                 0     680.341589482
    m14k15                 x                 x               228         26.355935               224               163     774.439327226               228                 0     819.013626421               212              1412     723.488367531               228                 0     729.568569234
    m14k16                 x                 x               228      28.948320681               224              7406     841.863010205               229              2766     795.929259173               213              1356     779.078031826               228                 0     765.998608425
    m14k17                 x                 x               229      26.588269671               221             38553     874.769216523               230              2643     876.491575043               217              1413     855.905732885               229                 0     826.184171183
    m14k18                 x                 x               228      33.554887626               226              1159     908.238003601               228                 0     859.580478356               221              1419     868.699080504               228                 0     881.348275626
    m14k19                 x                 x               228      32.690687552               222               928     968.175895568               228                 0    1004.579585153               218              3240    1035.805206558               228                 0    1028.590257189
    m14k20                 x                 x               229      39.056603337               226              1711    1073.974806795               229                 0    1057.754896651               221              2188    1096.245079806               229                 0    1066.125734284
     m15k1                 x                 x               111       3.405817604                92               266     188.054404849               111                 0     218.171319063                69               196     132.938468828               111                 0     131.589380972
     m15k2                 x                 x               182       5.510875662               149             46125     247.431664364               182                 0     289.953130494               101               115     166.196738219               182                 0     167.258358867
     m15k3                 x                 x               193       6.922200355               169               187     281.067697513               196                24     354.862251081               137               588     195.215539501               193                 0     191.331705171
     m15k4                 x                 x               208       8.978452754               195             16739     386.779904563               214               130     359.433501159               166               594     239.462238729               208                 0     243.239322955
     m15k5                 x                 x               218      10.642174581               205              1518     396.320330027               220              2496     433.975834538               167               388     278.351690163               218                 0     287.370461553
     m15k6                 x                 x               225      11.939852735               203             13020     454.584817642               225                 0     516.488930676               188               718      336.39684219               225                 0      340.17898214
     m15k7                 x                 x               225      14.516504327               213               315     495.463731899               225                 0     553.568930589               192               340     381.021898507               225                 0     371.555627455
     m15k8                 x                 x               230      15.149815146               221             10661     521.009745879               231                30     586.714167254               201              1461     402.775703851               230                 0     391.381762198
     m15k9                 x                 x               230      17.048367924               222              1252     555.759879276               230                 0     570.311126209               208              1427     427.831951767               230                 0     442.495849984
    m15k10                 x                 x               230      19.525330839               223              1974     618.990118476               230                 0      590.36813433               211              1155     482.438585268               230                 0     482.537741557
    m15k11                 x                 x               230      20.482984315               221               830     626.602738604               231                 4     636.168068345               210               882     528.014388312               230                 0     545.515120253
    m15k12                 x                 x               231      23.402072014               219              1454     711.788827993               233              1193     700.625976225               209              1074     598.780014956               231                 0     604.489663582
    m15k13                 x                 x               231      24.472554554               223               653     734.738261295               232             21642     748.628573033               213              1212     627.607132882               231                 0      665.96204961
    m15k14                 x                 x               231      23.908494579               225                30     769.018789196               231                 0     763.554700998               215              2174     712.819282165               231                 0     684.143657952
    m15k15                 x                 x               232      25.007755535               225              1774     802.939379194               232                 0     801.470189492               220              1649     733.108400539               232                 0     791.900156667
    m15k16                 x                 x               231      32.533951422               226                46     963.314892101               231                 0     929.346275208               218               438     887.012322568               231                 0     897.482452429
    m15k17                 x                 x               232      31.138379649               224                64     984.707977031               232                 0     934.025359935               223              1034     912.827207466               232                 0     869.084749136
    m15k18                 x                 x               231      33.600518016               227                34     904.580032973               232               343     841.281422383               221              5805     837.584044053               231                 0     843.978047047
    m15k19                 x                 x               231       32.75862367               226                94     877.844816618               232               617     923.654421732               221               655     999.345035803               231                 0    1043.506271294
    m15k20                 x                 x               232      37.871350735               227                39    1073.164709743               232                 0    1009.014979437               226              1327    1060.605861653               232                 0    1056.849750522
