           File name           Optimal   Optimal runtime            Greedy    Greedy runtime                GA        GA runtime                SA        SA runtime
   42x50_25_1.00.txt                16       0.167571742                16       0.034725298                16      59.594731722                16      37.295006126
   25x30_25_3.00.txt                20       0.085576344                20       0.247823093                20     101.038387697                20       71.76426814
  30x36_200_2.00.txt                 x                 x               150       4.836737897               153     307.831276497               150     188.192744583
  42x50_500_3.00.txt                 x                 x               378        74.4607408               381     712.371966076               378     366.825299431
   10x12_50_0.50.txt                 x                 x                44       1.010203689                44     170.058870878                44      89.274381393
  42x50_100_2.00.txt                 x                 x                70       0.656434251                74     173.636629012                70     127.910535842
  30x36_100_2.00.txt                 x                 x                86       1.884718473                87     230.410239026                86     147.740772779
  42x50_500_1.00.txt                 x                 x               174       6.138257113               176     308.619578304               174     195.488284586
   10x12_25_0.50.txt                25       0.124956993                25       0.193795448                25     111.177757628                25      57.528361813
  25x30_400_2.00.txt                 x                 x               335     101.625073148               335     825.008876891               335      403.56455004
  25x30_100_2.00.txt                 x                 x                86       2.377461604                86     244.511865028                86     170.161410044
   25x30_50_2.00.txt                 x                 x                45       0.476697874                45     150.846301197                45     106.617526988
   10x12_20_1.00.txt                19       0.094182975                19       0.372947776                19     124.406216736                19      44.743610015
   30x36_50_2.00.txt                 x                 x                44       0.338097564                44     144.614755504                44      99.242532836
  25x30_200_2.00.txt                 x                 x               171      14.950240482               173     410.373783474               171     250.817850946
  42x50_200_2.00.txt                 x                 x               131       3.418486746               136     288.457598459               131     177.211384877
  42x50_500_2.00.txt                 x                 x               275       26.84863262               285     513.894063204               276     294.243729518
   42x50_25_2.00.txt                22       0.053922775                22       0.045659633                22      85.425350508                22      59.120785115
  30x36_400_1.00.txt                 x                 x               193       7.523949484               200     366.235728111               193     213.675005124
   30x36_50_1.00.txt                 x                 x                30       0.055948814                33      98.285887253                30       62.07458556
   42x50_25_3.00.txt                22       0.096339214                22       0.124669629                22      97.401001413                22      59.428224085
   42x50_50_1.00.txt                 x                 x                30       0.026065196                31      92.822575478                30      70.146330298
   10x12_10_0.50.txt                 8       0.032476361                 8       0.012453832                 8      55.258414269                 8       26.38545909
  30x36_200_3.00.txt                 x                 x               172      24.958716472               173     469.409960324               172     287.180651338
   25x30_25_1.00.txt                19       0.043146695                19        0.04199776                19       76.01095948                19      50.786638872
  42x50_100_1.00.txt                 x                 x                53       0.110525793                57     129.975997701                53     100.085678473
  30x36_100_1.00.txt                 x                 x                72       0.390542757                76     159.171069858                72     120.904463303
   10x12_20_0.50.txt                18       0.084576509                18       0.108811108                18      91.303576821                18      45.440411157
  30x36_400_3.00.txt                 x                 x               350     160.107481589               350     882.995313805               350      446.07492646
   42x50_50_3.00.txt                 x                 x                41       0.306251413                41      135.23769774                41      80.259412237
  42x50_200_1.00.txt                 x                 x                86       0.737210862                92     185.662602038                87     133.041133229
   30x36_25_2.00.txt                19       0.062344649                19        0.11042776                19      91.990626475                19      49.613073605
   10x12_10_2.00.txt                10       0.046701595                10       0.331854099                10      98.876959102                10      32.735725755
   25x30_50_3.00.txt                 x                 x                47       1.403300221                47     187.203613123                47      89.139497128
  25x30_200_1.00.txt                 x                 x               136       3.422710605               145     269.826279094               136     183.876941673
  25x30_300_2.00.txt                 x                 x               249      45.249798262               252     605.120476041               249     322.218084503
  25x30_200_3.00.txt                 x                 x               179      46.979644885               179     476.754699381               179     237.882386312
   30x36_25_3.00.txt                24       0.083544748                24       0.212187738                24     111.848256174                24      60.169093777
   42x50_50_2.00.txt                 x                 x                44       0.156205733                44     122.630091144                44      99.662247533
   10x12_10_1.00.txt                10       0.026946455                10       0.108499348                10      75.764990663                10      32.821127075
  25x30_400_1.00.txt                 x                 x               238      16.421644963               242     468.335204424               238     264.360354504
  25x30_100_3.00.txt                 x                 x                90       7.546150034                90     315.027837017                90     146.775386905
   25x30_50_1.00.txt                 x                 x                43       0.140280812                43     114.709424182                43     103.030095688
  42x50_100_3.00.txt                 x                 x                79       1.287451636                81     191.355812155                79      133.01947184
   30x36_50_3.00.txt                 x                 x                46       0.896051732                46     173.735272699                46       96.47848851
   25x30_25_2.00.txt                25       0.039342572                25       0.278073344                25      117.71836318                25      68.038728751
   25x30_10_2.00.txt                 9        0.01895149                 9       0.031701946                 9      66.413054376                 9      35.196578805
  30x36_200_1.00.txt                 x                 x               113       1.782793937               118     221.246310475               113      147.95714607
   10x12_20_2.00.txt                20       0.071740201                20       0.856263409                20     140.084492655                20      41.233487168
   30x36_25_1.00.txt                17       0.028414572                17       0.021428142                17      67.709048072                17      49.641831781
  25x30_100_1.00.txt                 x                 x                78       0.834891548                82     188.098974609                78      138.11281044
   10x12_25_2.00.txt                25       0.148050564                25       2.084255852                25     194.522086935                25      45.831585807
  30x36_100_3.00.txt                 x                 x                90       3.560807996                90      256.73409335                90     151.123364752
   10x12_25_1.00.txt                22       0.057081346                22       0.483499389                22     129.904609172                22      44.612275992
  42x50_200_3.00.txt                 x                 x               160       7.567121759               161     359.972634533               160     207.883584033
  25x30_300_3.00.txt                 x                 x               271     143.225235751               271     761.569755574               271     377.103064995
  30x36_400_2.00.txt                 x                 x               281      22.201284313               289     536.525666547               281     255.626751803
  25x30_300_1.00.txt                 x                 x               187       9.368725205               188      370.01588909               187     239.322506366
